Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Days_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
C4946339,Unit 1727 - 8 Hillsdale Ave E,Mount Pleasant East - Toronto,Condo Apt,"$ 1,498,888","$1,514,351",2020-10-23,2+1 Bedrooms,3 Bathrooms,1 Garage,$ -,"Condo Apt, Multi-Level",$448/month,New,1000-1199 feet²,None,heat,22 days,20 day(s),2020-10-08,2020-10-23,"$3,151",2.07%,Yonge And Eglinton,"Bbqs Allowed, Concierge, Gym, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden",S,Toronto,"Skytown At The Fabulous Artshoppe. Townhouse In The Sky! Two Levels, W/ Rooftop Patio Of Prestige Living. Main Living Floor - 12' Celling. 2nd Floor - 11' Ceiling. Den Large Enough To Be 3rd Bdr. Two Full Baths Plus Powder Room. Two Balconies, Plus Rooftop Terrace With Bbq Gas Line! High End Finishes. Stunning Views Of The Downtown, Lake And Even Mississauga. Bld Lobby Designed By Carl Lagerfeld. There Is Just Nothing Like It! Once In A Lifetime Opportunity!"
C4921634,Unit 304 - 212 Eglinton Ave E,Mount Pleasant East - Toronto,Condo Apt,"$ 750,000","$750,975",2020-10-27,2 Bedrooms,2 Bathrooms,0 Garage,"$ 3,172","Condo Apt, Apartment",$731/month,-,900-999 feet²,None,"water,hydro,heat",38 days,20 day(s),2020-09-21,2020-10-27,"$2,619",2.24%,Yonge/Eglinton,,S,Toronto,"Spacious Corner Unit At Panache Condo 2 Bedroom, 2 Baths, (994 Sf) At Vibrant Yonge/Eglinton. Sunny South Exposure. Loads Of Space At A Great Price. Upgraded Eat-In Kitchen With Granite Counters. Excellent Amenities Include Gym, Bbq Terrace, Indoor Pool With Hot Tub, Guest Suite, 24 Hr Concierge, Visitor Parking, Near New Loblaws & Lcbo, Restaurants, Theatre, New Lrt, 5 Min. To Subway."
C4959367,Unit 1906 - 25 Broadway Ave,Mount Pleasant East - Toronto,Condo Apt,"$ 685,000","$681,193",2020-10-19,1+2 Bedrooms,1 Bathrooms,1 Garage,"$ 2,998","Condo Apt, Apartment",$576/month,-,700-799 feet²,None,"water,heat",10 days,20 day(s),2020-10-19,2020-10-19,"$2,182",2.18%,Yonge And Eglinton,,E,Toronto,"708 Sq/Feet - Rare Find Of 1 Bedroom & 2 Den Unit In Luxurious Tridel Building In The Best Location Of Mid Town With 9 Ft Ceiling, Great Layout, Breathtaking & Unobstructed East View. Close To Shopping Centers, Restaurants, Business Area, Ttc And Subway Station, Close To Downtown Toronto, With 24H Security Guard With Fantastic Amenity. ( Den Could Be Used As Second And Third Bedroom.)"
C4968276,Unit 710 - 25 Broadway Ave,Mount Pleasant East - Toronto,Condo Apt,"$ 624,900","$637,612",2020-10-26,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,735","Condo Apt, Apartment",$513/month,-,700-799 feet²,None,water,4 days,21 day(s),2020-10-26,2020-10-26,"$2,004",2.16%,Yonge - Eglinton,"Concierge, Exercise Room, Guest Suites, Party/Meeting Room, Visitor Parking",W,Toronto,"***** Excellent Price For A Gorgeous Sun-Filled Condo At Yonge - Eglinton ***** Modern Open Concept Eat-In Kitchen With Lots Of Cupboards And Counterspace, Stainless Steel Appls, Center Island, Quartz Counters. Laminate Floors, Large Balcony, Den With Door Makes A Perfect Home Office!!!!! Steps To Subway, School, Restaurants And Shopping!!!"
C4884288,Unit 507 - 1414 Bayview Ave,Mount Pleasant East - Toronto,Condo Apt,"$ 749,000","$734,512",2020-09-02,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,809","Condo Apt, Apartment",$352/month,-,500-599 feet²,None,,67 days,20 day(s),2020-08-24,2020-09-02,"$1,932",2.02%,Bayview And Davisville,,E,Toronto,"Welcome To 1414 Bayview Avenue. A Boutique Residential Building Offering Forty-Four Impeccably Designed One, Two And Three-Bedroom Suites. Designed To Provide Residents With Unparalleled Refinement And Uncompromising Quality, 1414 Bayview Avenue Is Set Within The Heart Of The Bayview ""High Street,"" Offering Residents The Best Of Urban Living In A Peaceful And Elegant Community Setting."
C4910556,Unit 1507 - 5 Soudan Ave,Mount Pleasant East - Toronto,Condo Apt,"$ 998,000","$1,027,313",2020-09-17,2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,444","Condo Apt, Apartment",$633/month,-,800-899 feet²,None,,46 days,19 day(s),2020-09-14,2020-09-16,"$2,400",1.58%,Yonge And Eglinton,"Concierge, Gym, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden",Ne,Toronto,"Yonge/Eglinton's Most Iconic Boutique Condo ""Art Shoppe"" Inspired Design By The Late Fashion Designer Karl Lagerfeld. One Of Very Few Corner 2 Bed, 2Bath, 2 Balcony Units With 10Ft Ceilings + Parking. Incredible Future Value When The 5-Star Ultra Luxury Amenities, Multiple Lobbies And Art Inspired Outdoor Spaces Are Finished + The New Lrt And Subway Right At Your Doorstep Are Complete. Split Bed Plan With Floor To Ceiling Windows And Forever Views To The East"
C4953705,Unit 310 - 600 Eglinton Ave E,Mount Pleasant East - Toronto,Condo Apt,"$ 682,800","$682,027",2020-10-27,2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,303","Condo Apt, Apartment",$1031/month,-,1000-1199 feet²,None,water,15 days,20 day(s),2020-10-14,2020-10-27,"$2,543",2.07%,Bayview/Eglinton,"Exercise Room, Gym, Party/Meeting Room, Rooftop Deck/Garden",Sw,Toronto,"Located In The Heart Of Leaside, Right On The Future Eglinton Crosstown., Sun-Filled Open Concept 2 Bedroom Corner Suite With 9-Foot Ceilings, Locker On The Same Floor As Suite, Best Parking Spot In The Building, Wrap-Around Balcony With Sunny Southwest Views & A Pet-Friendly Building. 24Hr Metro, Transit, Leaside Restaurants & Shops, Schools & Parks Right Outside Your Door. Building Amenities Include A Party Room, Outdoor Terrace, Exercise Room & Library."
C4942970,Unit 605 - 1414 Bayview Ave,Mount Pleasant East - Toronto,Condo Apt,"$ 1,919,500","$1,743,403",2020-10-11,2 Bedrooms,3 Bathrooms,1 Garage,$ -,"Condo Apt, Apartment",-,New,1200-1399 feet²,None,,23 days,20 day(s),2020-10-06,2020-10-07,"$2,524",1.64%,Bayview And Mcrae,,E,Toronto,Spectacular And Spacious East Facing Two Bedroom Unit Innovative Full-Height European Style Tilt And Turn Windows That Provide An Elegant And Comfortable Connection To The Outdoors. Custom European Kitchen With Integrated Miele Appliances. Engineered Hardwood Flooring Throughout. 9Ft Ceilings With Fabulous Neighbourhood Views. Modern Kohler Bathroom Fixtures. Access To Amenities And Retail On Bayview. One Parking Included. Locker Available To Purchase.
C4945813,Unit 5809 - 8 Eglinton Ave E,Mount Pleasant East - Toronto,Condo Apt,"$ 1,428,888","$1,401,851",2020-10-29,2+1 Bedrooms,2 Bathrooms,1 Garage,"$ 6,708","Condo Apt, Apartment",$1112/month,New,1200-1399 feet²,None,,22 days,21 day(s),2020-10-07,2020-10-29,"$3,528",1.41%,Yonge St/Eglinton,"Concierge, Guest Suites, Gym, Indoor Pool, Rooftop Deck/Garden, Security System",Se,Toronto,"Welcome To ""E-Condo"" At Yonge/Eglinton, A Rare Found Corner Ph-Unit (2Bdrm+Den With Window+2Bath) W/ Spectacular Se View. Floor To Ceiling Widows, Wrap Around Balcony Of 337 Sqft. Modern European Kitchen, Beautiful Open Concept Layout W/ Upgraded Kitchen Backsplash, Quartz & Gorgeous High-End Integrated Appliances. Enjoy The Luxurious Bldg Amenities & The Future E-W Metro Link/Subway. Steps To Many Shops, Restaurants, Etc. *Must See!*"
C4942882,Unit 703 - 1414 Bayview Ave,Mount Pleasant East - Toronto,Condo Apt,"$ 3,700,000","$3,209,918",2020-10-11,3 Bedrooms,3 Bathrooms,2 Garage,$ -,"Condo Apt, Apartment",-,New,2000-2249 feet²,None,,23 days,20 day(s),2020-10-06,2020-10-07,"$3,186",1.12%,Bayview & Mcrae,"Bbqs Allowed, Bike Storage, Concierge, Recreation Room, Security System, Visitor Parking",W,Toronto,"A One-Of-A-Kind Penthouse In One Of Toronto's Most Desirable Neighbourhoods. With Over 2,000 Square Feet Of Living Space, 10 Foot High Ceilings, Premium Hardwood Flooring, Custom-Designed Italian Kitchen Millwork And Ceasarstone Countertops And Spa Inspired Ensuites, This Unit Is An Entertainer's Dream. Enjoy Seamless Indoor-Outdoor Living With A Private 775 Sqft Terrace Overlooking The Tranquil Treetops Of Midtown Toronto."
C4932557,Unit 404 - 1750 Bayview Ave,Mount Pleasant East - Toronto,Condo Apt,"$ 1,325,000","$1,320,879",2020-10-23,3 Bedrooms,3 Bathrooms,2 Garage,"$ 5,895","Condo Apt, Apartment",$2302/month,-,2000-2249 feet²,None,"water,heat",30 days,20 day(s),2020-09-29,2020-10-22,"$3,186",0.2%,Bayview Ave & Eglinton Ave,"Bike Storage, Exercise Room, Gym, Party/Meeting Room, Security System, Visitor Parking",Ew,Toronto,"Welcome To The Prestigious Braxton Located At Bayview & Eglinton. Fantastic & Unique Extra Large Over 2,000Sf, 3 Bedroom 3 Bathroom Suite!! 2 Parking Spots, 3 Lockers, 2 Balconies, Your Future Home Has It All! Bright & Spacious Layout, No Wasted Space! Rarely Offered Unit. Great Location. Fantastic For Entertaining. High Ceilings. Underground Parking. Visitor Parking. Beautiful Views Throughout. Near Talbot Park. Spacious And Lots Of Storage & Closet Space!"
C4935210,Unit 2202 - 25 Broadway Ave,Mount Pleasant East - Toronto,Condo Apt,"$ 1,990,000","$1,860,157",2020-10-27,3 Bedrooms,3 Bathrooms,2 Garage,"$ 8,282","Condo Apt, Apartment",$1698/month,-,2000-2249 feet²,None,,28 days,20 day(s),2020-10-01,2020-10-27,"$3,558",0.63%,Yonge & Eglinton,"Concierge, Exercise Room, Guest Suites, Gym, Rooftop Deck/Garden, Visitor Parking",Ne,Toronto,"Well Maintained Tridel Building ""The Republic 1"". Upgraded Executive Corner Suite With Large Principal Rooms And High Ceilings. Magnificent Views Of The City Skyline. Many Walkouts Throughout This Beautifully Appointed 3 Bedroom Suite. Master Retreat With Lots Of Closet Space And 5 Piece Ensuite. Ensuite Laundry Room. Amazing Recreational Facilities. Close To Highly Rated Schools, Shops, Restaurants And Subway. Luxury Living At Yonge & Eglinton."
C4804166,Unit Ph15 - 70 Roehampton Ave,Mount Pleasant East - Toronto,Condo Apt,"$ 4,280,000","$3,928,856",2020-07-20,2 Bedrooms,3 Bathrooms,2 Garage,"$ 10,797","Condo Apt, Apartment",$1485/month,6-10,2500-2749 feet²,None,,128 days,16 day(s),2020-06-23,2020-07-20,"$3,292",0.23%,Yonge And Eglinton,"Concierge, Guest Suites, Gym, Lap Pool, Sauna, Visitor Parking",Sw,Toronto,"Tridel's Republic Of Yonge And Eglinton Sw Corner 2 Level Ph Unit. Largest Unit Of The Building. Rare 2526 Sf With 1800 Sf Roof Top Terrace. Breathtaking Sw City Views. Unique Open Plan With Walls Of 10' Windows On 10' Ceiling. Vintage 5"" Black Oak Fumed Flooring. Extensive Use Of Calacatta Silver Marble T/O. Sound System With B/I Speakers And Volume Controls. In-Suite Elevator To Roof Top Terrace. One-Of-A Kind Ph Suite With Spectacular Finishes + Vistas."
W4958579,Unit 816 - 812 Lansdowne Ave,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 499,800","$525,611",2020-10-19,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,363","Condo Apt, Apartment",$279/month,-,500-599 feet²,None,"water,heat",10 days,11 day(s),2020-10-19,2020-10-19,"$1,805",3.1%,Dupont/Lansdowne,"Exercise Room, Media Room, Party/Meeting Room, Sauna, Visitor Parking",N,Toronto,"Location!! The Best Of City Living In The Heart Of The Junction Triangle & Davenport Village. This Spacious, Modern & Bright One Bedroom Features A Functional Modern Kitchen W/Breakfast Bar, S/S Appliances & Granite Counters, A Spacious Master, And Open Concept Living/Dining Room. Upgraded Balcony With Tiles. Walk To Bloor Subway, Steps To Groceries, Shopping, Coffee Shops, Restaurants And Entertainment!"
W4968856,Unit 2401 - 1410 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 589,000","$622,635",2020-10-29,2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,519","Condo Apt, Apartment",$577/month,0-5,800-899 feet²,None,"water,heat",3 days,12 day(s),2020-10-27,2020-10-29,"$2,450",3.06%,Dupont & Lansdowne,"Exercise Room, Gym, Party/Meeting Room, Rooftop Deck/Garden, Security Guard, Visitor Parking",Ne,Toronto,"Sun Kissed Corner Unit At Fuse Condos! Functional 2 Bed & 2 Bath Split Layout With Spectacular Views Of The Sunrise, Sunset And City Skyline. 871 Sqft With Wrap Around Balcony. Upgraded With Marvelous Eat In Kitchen Island And Premium Quartz Countertops, Custom Blinds And Closets, And Exposed Concrete Ceilings! Groceries And Shoppers In The Building And Ttc At Your Door Step!"
W4962683,Unit 2407 - 1410 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 484,900","$504,352",2020-10-25,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,619","Condo Apt, Apartment",$321/month,-,500-599 feet²,None,"water,heat",8 days,12 day(s),2020-10-21,2020-10-25,"$1,782",3.02%,Dupont & Lansdowne,"Games Room, Gym, Party/Meeting Room, Rooftop Deck/Garden, Security Guard, Visitor Parking",W,Toronto,Perched On A High Floor This Light Filled One Bedroom Suite Offers 557 Sq.Ft. Of Well Designed Functional Layout + Balcony W/Stunning City Views To The Lake & West Exposure * An Entertainer Delight Open Concept Interior Includes Modern Kitchen W/Granite Counters & Breakfast Bar * Large Living/Dining * Spacious Master Retreat W/Double Closet * Foyer W/Entrance Closet * Ensuite Laundry * Quality Laminate Flooring & Ample Storage Thru-Out * No Wasted Space Here!
W4953882,Unit 119 - 816 Lansdowne Ave,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 699,900","$716,491",2020-10-17,2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,087","Condo Apt, Apartment",$519/month,6-10,800-899 feet²,None,"water,heat",14 days,11 day(s),2020-10-15,2020-10-16,"$2,569",3.02%,Dupont Street And Lansdowne Av,"Exercise Room, Games Room, Gym, Party/Meeting Room, Sauna, Security System",Ne,Toronto,"(Wow) Absolute Show Stopper!No Need To Wait For Elevators! This Large 844 Sqft 2 Bed + 2 Full Bath Condo On Above Main Level W/Excellent Lay Out Is Located In The Highly Sought After Junction Triangle/Davenport Village. Bright O/C, Modern Kitchen W/Center Island, Dining Room W/Wo To Large Terrace, Master Bed W/Ensuite, Foyer W/Laundry. 7 Min Walk To L/Downe Subway,10 Min To Up Exp & Go,Ttc Around Corner, Shops,Supermarkets,Restaurants,Cafes."
W4969823,Unit 623 - 816 Lansdowne Ave,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 699,999","$720,055",2020-10-28,2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,307","Condo Apt, Apartment",$519/month,-,800-899 feet²,None,"water,heat",1 days,12 day(s),2020-10-28,2020-10-28,"$2,578",2.97%,Lansdowne & Dupont,,N,Toronto,"Bright, Spacious And O So Gracious. Welcome To This Beautiful Unique Split Layout 2 Bed 2 Bath Corner Suite In The Active And Vibrant Junction Triangle & Davenport Village. Upgrades; Laminate Flooring (19), Popcorn Ceiling Removed (19), Light Fixtures (19), Paint (19), Island Removed (19). Booming Area With Easy Access To Transit, Parks, Shopping. Great Amenities With Low Maintenance Fees. 1 Parking, 1 Locker. 855 Sqft. Don't Miss This Unique Opportunity!"
W4935707,Unit 1210 - 1420 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 579,900","$591,554",2020-10-26,2 Bedrooms,1 Bathrooms,1 Garage,"$ 1,811","Condo Apt, Apartment",$387/month,-,500-599 feet²,Apartment,"water,heat",29 days,11 day(s),2020-10-01,2020-10-26,"$2,050",2.93%,Dupont/Lansdowne,"Games Room, Gym, Party/Meeting Room, Rooftop Deck/Garden, Security System, Visitor Parking",Ne,Toronto,"**Excellent* Bright Clean 2 Bedroom Corner Unit With 593 Sq Ft + 68 Sq Ft Balcony ! Low Maintenance Fees, 1 Parking And 1 Locker, With Lots Of Visitor Parking. Beautiful Unobstructed View Of The City. Bright And Open Concept Unit With Modern Kitchen, Spacious Balcony, Loads Of Amenities. Food Basics & Shoppers Drug Mart At The Base Of The Building. Nearby Corso Italia, Stockyards, High Park, Schools, Steps To T.T.C, Bus Stop And Subway. * Fantastic Location.*"
W4961272,Unit 710 - 1420 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 499,000","$529,573",2020-10-26,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,517","Condo Apt, Apartment",$333/month,0-5,500-599 feet²,None,"water,heat",9 days,11 day(s),2020-10-20,2020-10-26,"$1,800",2.92%,Lansdowne Ave & Dupont St,"Bike Storage, Games Room, Gym, Media Room, Party/Meeting Room, Security Guard",W,Toronto,"Don't Miss The Opportunity To Own The Most Desirable 1 +1 Model In The Building! **This Unit Is Freshly Painted, Just Move In** Open Concept Floorplan Featuring Laminate Floors, Large U-Shaped Kitchen With Quartz Countertops And Breakfast Bar. Catch The Sunset From Your Balcony With West-Facing Unobstructed Views. Close To Stores, Cafes, Parks And Transit. Walk Score Gives This Building An 82 For Walkability . The Junction Triangle Is The Place To Be!"
W4920971,Unit 218 - 812 Lansdowne Ave,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 515,000","$550,297",2020-09-21,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,667","Condo Apt, Apartment",$366/month,-,600-699 feet²,None,hydro,38 days,11 day(s),2020-09-21,2020-09-21,"$1,884",2.88%,Dupont / Lansdowne,"Gym, Party/Meeting Room, Visitor Parking",N,Toronto,"Amazing Opportunity To Own In One Of Toronto's Trendiest Neighborhoods Of Wallace-Emerson-Junction. The Unit Is A Spacious 646 Sq.Ft. (Not Including Balcony). This Unit Is A Modern 1-Bed+Den With Upgraded Kitchen. You Have Some Of The Cities Most Popular Restaurant And It Is A Foodie Lovers Paradise. Steps To The Junction, High Park, Landsdowne Subway, Shops, Restaurants, Parks, Groceries, And Fitness Centres."
W4953685,Unit 1308 - 812 Lansdowne Ave,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 529,900","$545,285",2020-10-14,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,835","Condo Apt, Apartment",$327/month,6-10,600-699 feet²,None,"water,heat",15 days,11 day(s),2020-10-14,2020-10-14,"$1,835",2.86%,Dupont / Lansdowne,"Games Room, Gym, Media Room, Party/Meeting Room, Sauna, Visitor Parking",W,Toronto,"Penthouse Living At The Upside Down Condos In High-Demand Junction Triangle ! This Spacious 1 Bdrm + Den Features An Upgraded Kitchen W/ Stainless Appls, Granite Counters, Subway Tile Backsplash & Lam Flrs. Western Exposure Floods The Unit W/ Natural Light & Offers Unobstructed Expansive Views From The Master, Living & Balcony! Building Amenities Include Gym W/ Saunas, Party/Theatre/Games/Study Rooms, & Outdoor Courtyard W/ Bbqs."
"W4827872, 273143",Unit 421 - 816 Lansdowne Ave,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 519,900","$554,709",2020-07-13,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,566","Condo Apt, Apartment",$309/month,2014,600-699 feet²,None,"water,heat",113 days,20 day(s),2020-07-09,2020-07-13,"$1,850",2.83%,Lansdowne And Dupont,"Bike Storage, Exercise Room, Games Room, Gym, Party/Meeting Room, Visitor Parking",W,Toronto,"Beautiful 1 Bd+Den In Trendy Davenport Village. Open Concept Unit Features Picturesque Sunsets From Lg West Facing Balcony. Kitchen Features Granite Counters And S/S Appliances. Plenty Of Storage In Unit. Ttc At Your Doorstep, Go And Up Exp Within A Few Minutes Walk. Pet Friendly Building. Current Month To Month Tenants Would Love To Stay."
W4968711,Unit 407 - 1375 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 649,000","$678,301",2020-10-27,1+1 Bedrooms,2 Bathrooms,1 Garage,"$ 2,015","Condo Apt, Loft",$653/month,-,800-899 feet²,None,"water,heat",3 days,12 day(s),2020-10-26,2020-10-27,"$2,473",2.78%,Dupont And Lansdowne,"Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",Nw,Toronto,"Experience Urban Living In This Bright & Spacious 860 Sq.Ft Corner Chelsea Loft. Open Concept-Originally 2 Bedrooms-Offering 9' Exposed Concrete Ceilings & Floor To Ceiling Windows. This Mid Rise Boutique Building Has A Large Party Room, Giant Rooftop Deck With Community Garden & Visitor Parking. You're At The Entrance Of The Junction Triangle With Shopping Right Across The Street & Restaurants, Parks, Ttc & Up Express A Short Walk."
W4949414,Unit 119 - 812 Lansdowne Ave E,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 490,000","$476,236",2020-10-27,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,391","Condo Apt, Apartment",$284/month,-,500-599 feet²,None,"water,heat",19 days,11 day(s),2020-10-10,2020-10-27,"$1,811",2.77%,Dupont And Lansdowne Ave,"Bike Storage, Games Room, Gym, Rooftop Deck/Garden, Sauna, Visitor Parking",E,Toronto,"Large Open Concept 1B Condo At Upsidedown Condos.Highly Sought After Neighborhood Junction. Modern Kitchen With Upgraded Granite Counter Tops, Featuring,Stainless Steel Appliances.Walk Out Balcony To Private Crtyard. Amazing Amenities: Sauna, Party Rm, Exercise Rm, Billiard Rm & Free Visitor Parking, Roof Top Terrace With Bbq's . Close To High Park, Walk To Subway,Ttc,Min's.Food Basics And Shoppers Drug Mart Minutes Away.Ensuite Laundry,Large Closets."
W4900763,Unit 508 - 1420 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 549,900","$593,962",2020-09-19,1+1 Bedrooms,2 Bathrooms,0 Garage,"$ 1,731","Condo Apt, Apartment",$387/month,-,600-699 feet²,None,"water,heat",53 days,12 day(s),2020-09-07,2020-09-18,"$1,950",2.74%,Dupont And Lansdowne,"Bike Storage, Exercise Room, Games Room, Gym, Rooftop Deck/Garden, Visitor Parking",W,Toronto,"Live In The Trendy Junction Area At Fuse 2. Bright 1 Bedroom + Den + 2 Full Washrooms + Balcony! Well Designed Functional Layout. Den Can Be Used As A 2nd Bedroom. Condo Features And Open Concept Modern Kitchen W/ Granite Counters, Stainless Steel Appliances And Ensuite Laundry.? Only 10 Min. Walk To Lansdowne Subway Station And Up Express. Shoppers Drug Mart And Food Basics Downstairs!"
W4940590,Unit 709 - 1375 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 565,000","$541,164",2020-10-23,1 Bedrooms,1 Bathrooms,1 Garage,"$ 1,613","Condo Apt, Loft",$479/month,-,500-599 feet²,None,"water,heat",24 days,12 day(s),2020-10-05,2020-10-23,"$1,909",2.73%,Dupont/Landsdowne,"Security System, Recreation Room",N,Toronto,"*** Chelsea Lofts*** Lower Penthouse Unit Features Floor To Ceiling Windows With High 9' Ceiling Throughout The Unit. Exposed Duct Work And Concrete Pillars. Rooms Are Filled With Natural Light From Floor-Ceiling Windows. 2020 Renovated : New Flooring , Fresh Paint Through Out, Long Baseboards, All Brand New Appliances, New Faucet, New Customized Wardrobe, All Customized Lighting & Ceiling Fan. W/O Terrace Party Room, Roof Top Lounge/Patio,Close To Elevator"
W4964718,Unit 315 - 1410 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 475,000","$514,459",2020-10-29,1 Bedrooms,1 Bathrooms,1 Garage,"$ 1,787","Condo Apt, Loft",$428/month,0-5,600-699 feet²,None,"water,heat",7 days,12 day(s),2020-10-22,2020-10-29,"$1,782",2.68%,Lansdowne/Dupont,"Bike Storage, Gym, Media Room, Party/Meeting Room, Security Guard, Visitor Parking",S,Toronto,"Location Location Location! Bright Beautiful Luxurious And Modern *Loft*, Renovated & Upgraded Throughout. New Kitchen W/Large Waterfall Quartz Island And Brand New S/S Appliances, Washroom W/Rainfall Shower & Marble Tiles, New Flooring, Smooth Ceiling W/Pot Lights Throughout. Direct Indoor Access To Food Basics And Shoppers Drug Mart. Large Outdoor Terrace On Same Floor. Steps To Subway, Up Express/Go & Ttc Routes. Building Includes Gym, Theatre & Library."
W4968553,Unit 1018 - 812 Lansdowne Ave,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 679,000","$691,440",2020-10-27,2+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,171","Condo Apt, Apartment",$475/month,6-10,700-799 feet²,None,"water,heat",2 days,12 day(s),2020-10-27,2020-10-27,"$2,199",2.55%,Dupont / Lansdowne,"Gym, Media Room, Party/Meeting Room, Sauna, Visitor Parking",Ne,Toronto,"Move Right In To One Of The City's Hottest Neighbourhoods. This Spacious 2+1 Bed Unit Offers A Split Bdrm Plan & Nearly 800Sq Ft Of Fab Living Space. Feat Incl: 2 Bdrms W/Dble Closets & Breathtaking Views; A Chef's Kit W/S/S Appl, Granite C-Tops & Ceramic Bksplsh; Large Balcony W/Spectacular Views Of The Toronto Skyline. Steps To Ttc, Parks, Geary Street, Vibrant Neighbourhood Shops & Hotspot Restos Like Wallace Espresso, Sugo, Parallel & Famiglia Baldassarre"
W4969290,Unit 605 - 1375 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 575,000","$585,548",2020-10-29,1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 1,709","Condo Apt, Apartment",$504/month,-,600-699 feet²,None,"water,heat",3 days,12 day(s),2020-10-27,2020-10-29,"$1,950",2.54%,Dupont & Landsdowne,,S,Toronto,"Uplifting Energy In This Warm, Sun-Filled Sanctuary With Unobstructed Southern Vista Of The City. Wood Floors Throughout, Unit Length Balcony, And Ample Storage Are Just Some Of The Features Of This Beautiful Unit. New Paint And Appliances Were Replaced Over The Last Year. View Attached Feature Sheet For The Full Description Of Features And Upgrades. You Will Love All The Pluses So Welcome Home!"
W4915991,Unit 39 - 371 Wallace Ave,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 1,024,000","$1,022,558",2020-10-21,2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,478","Condo Apt, Loft",$721/month,11-15,1000-1199 feet²,None,water,42 days,11 day(s),2020-09-17,2020-10-21,"$3,247",2.42%,Bloor And Symington,"Bbqs Allowed, Gym, Rooftop Deck/Garden, Visitor Parking",Se,Toronto,"The Convenience Of Ground Based Living Combined With The Luxuries Of Loft Living In The Coach House At The Wallace Station Lofts. Front Door Parking & Entry, Bright & Open, 2 Bdrm, 2 Bath Floor Plan, 1178Sqft On One Level Plus An Amazing, Private, South Facing, 370Sqft Roof Top Patio, Perfect Of Entertaining & Relaxing. Open Concept Kitchen, Living, Dining Area, Huge Master Bdrm With Ensuite & Walk-In Closet. Flexible 2nd Bdrm, Office Or Exercise Space & Deck"
